AcceptedTaxonID	CommonName	TransliteratedName	Country	Area	Language	ReferenceID	
107409	Краб кам’яний 				Ukrainian	147411	
107409	Кам’яний краб				Ukrainian	147411	
107473	ærtekrabbe				Danish	147411	
107418	ruig krabbetje				Dutch	51	
107473	erwtenkrabbetje				Dutch	51	
107418	harig krabbetje				Dutch	61	
107473	mosselteek				Dutch	51	
107473	teek				Dutch	51	
107473	mosselkrabbetje				Dutch	51	
107473	oesterkrabbetje				Dutch	51	
107473	rood krabbetje				Dutch	51	
395025	smooth-handed crab				English		
107473	pinna pea crab				English	1116	
107418	hairy crab				English	1116	
107418	bristly crab				English	51	
107473	pea crab				English	51	
158044	gladiator box crab				English	2901	
158435	coarsehand lady crab				English	2901	
158445	tube pea crab				English	2901	
158449	Lunz pea crab				English	2901	
158434	lady crab				English	124438	
107315	queen crab				English	124438	
107315	snow crab				English	124438	
421917	twospine box crab				English	102812	
421926	granulose purse crab				English	102812	
421936	bighole clutch crab				English	102812	
421937	twohole clutch crab				English	102812	
421938	smallhole clutch crab				English	102812	
441432	winged kelp crab				English	102812	
421941	variegate spider crab				English	102812	
421942	winged mime crab				English	102812	
421983	lobed decorator crab				English	102812	
421984	speck-claw decorator crab				English	102812	
442161	triangle Tanner crab				English	102812	
368558	southern Tanner crab				English	102812	
442165	grooved Tanner crab				English	102812	
422042	Florida lady crab				English	102812	
158434	ocellate lady crab				English	102812	
422094	coarsespine hairy crab				English	102812	
422095	shortspine hairy crab				English	102812	
422097	plumed hairy crab				English	102812	
422098	tuberculate hairy crab				English	102812	
422099	roseate hairy crab				English	102812	
422101	studded hairy crab				English	102812	
422102	quadrate hairy crab				English	102812	
422104	beaded hairy crab				English	102812	
422105	spineback hairy crab				English	102812	
442575	retiring hairy crab				English	102812	
422106	longspine hairy crab				English	102812	
422134	lobefront mud crab				English	102812	
422135	beaded mud crab				English	102812	
422136	puffy mud crab				English	102812	
422137	sculptured mud crab				English	102812	
209127	areolated xanthid crab				English	102812	
422091	nakedface hairy crab				English	102812	
422107	Carolinian squareback crab				English	102812	
422108	Gulf squareback crab				English	102812	
422159	polka-dot pea crab				English	102812	
445035	mantle pea crab				English	102812	
445046	gaper pea crab				English	102812	
445047	longlegged pea crab				English	102812	
422162	thumbless pea crab				English	102812	
445050	western pea crab				English	102812	
445062	Schmitt pea crab				English	102812	
445065	tube-dwelling pea crab				English	102812	
445218	Puget pea crab				English	102812	
107473	pinnothère				French	51	
107418	crabe poilu rouge				French	51	
107373	Γυριώνης				Modern Greek (1453-)	147411	
107418	granchio peloso				Italian		
107315	snøkrabbe				Norwegian Nynorsk	147411	
107315	snøkrabbe				Norwegian Bokmål	147411	
107418	Волосатый краб				Russian	147411	
107374	tretandskrabba				Swedish	147411	
107473	musselväktare				Swedish	147411	
107418	Волохатий краб				Ukrainian	147411	
107418	Краб волохатий				Ukrainian	147411	
107387	gërthia këmbëlopatë blu				Albanian	151643	
107387	cranc de sopa				Catalan		
107387	almindelig svømmekrabbe				Danish	147411	
107388	glat svømmekrabbe				Danish	147411	
107387	Ruderkrabbe				German	147412	
442960	Süßwasserkrabbe				German	147411	
107388	gemeine Schwimmkrabbe				German	123768	
107400	Breitfuss-krabbe				German	123768	
107394	grijze zwemkrab				Dutch		
107392	gewimperde zwemkrab				Dutch		
389288	penseelkrab				Dutch		
107388	porceleinkrabbetje				Dutch	51	
107388	kleine zeekrab				Dutch	51	
107388	witte krab				Dutch	51	
107388	gewone zeekrab				Dutch	51	
107388	slabraai				Dutch	51	
107400	breedpotige krab				Dutch	51	
158417	blaasjeskrab				Dutch		
107400	breedpootkrab				Dutch	51	
107393	kleine zwemkrab				Dutch	51	
107387	blauwpootzwemkrab				Dutch	51	
107390	gemarmerde zwemkrab				Dutch	51	
107388	gewone zwemkrab				Dutch	51	
107313	wratoogkrab				Dutch	51	
107454	penseelkrab				Dutch	163040	
389288	penseelkrabbetje				Dutch	163040	
107387	harbour crab				English	614	
107387	sandy swimming crab				English		
389288	japanese crab				English	163040	
389288	brush-clawed shore crab				English	163040	
444776	purple shore crab				English	102812	
444778	yellow shore crab				English	102812	
421904	eroded frog crab				English	102812	
344730	flecked box crab				English	102812	
421940	jacknife spider crab				English	102812	
441545	crevice spider crab				English	102812	
442847	Hawaiian swimming crab				English	102812	
107382	spiny hands				English	102812	
241114	delicate swimming crab				English	102812	
208813	hairy swimming crab				English	102812	
208794	three spot swimming crab				English	102812	
107405	sargassum swimming crab				English	102812	
208809	blood-spot swimming crab				English	102812	
442815	Xantus swimming crab				English	102812	
422054	smoothwrist soft crab				English	102812	
440889	roughwrist soft crab				English	102812	
422059	tufted broadface crab				English	102812	
422084	narrowback mud crab				English	102812	
241131	areolate mud crab				English	102812	
158436	Atlantic mud crab				English	102812	
395018	knotfinger mud crab				English	102812	
422085	salt marsh mud crab				English	102812	
422086	furrowed mud crab				English	102812	
422087	granulose mud crab				English	102812	
422088	oystershell mud crab				English	102812	
422089	depressed rubble crab				English	102812	
422113	rough squareback crab				English	102812	
107424	elkhorn coral crab				English	102812	
208982	pretty liomera				English	102812	
208979	red liomera				English	102812	
208986	corrugated liomera				English	102812	
444209	knotted liomera				English	102812	
209046	nodose rubble crab				English	102812	
107454	Pacific crab				English	163040	
107454	Japanese shore crab				English	163040	
107454	penicillate shore crab				English	163040	
158417	Pacific crab				English	163040	
158417	Japanese shore crab				English	163040	
158417	Asian shore crab				English		
107387	blue-leg swimming-crab				English	51	
107386	wrinkled swimming crab				English	147411	
107392	arch-fronted swimming crab				English	147411	
107388	swimming crab				English	1116	
107388	flying crab				English	51	
107390	marbled swimming crab				English	51	
107400	Pennant's swimming crab				English	51	
107393	dwarf swimming crab				English	51	
158420	calico box crab				English	2901	
158453	iridescent swimming crab				English	2901	
107313	Cranch's spider crab				English	51	
107404	blue swimming crab				English	126034	
107388	crabe nageur				French	123768	
107313	araignée de mer				French	9269	
107400	etrille élégante				French	51	
107393	crabe nageur				French	51	
107387	etrille pattes blue				French	51	
107454	crabe japonaise				French	163040	
389288	crabe japonaise				French	163040	
389288	crabe à pinceaux				French	163040	
158417	crabe japonaise				French	163040	
107258	gërthia e sfungjerëve				Albanian	151643	
107350	gërthia e madhe me gjëmba				Albanian	151643	
107350	txangurro				Basque		
107350	cabra				Catalan		
107258	cranc felput				Catalan	163039	
107258	svampekrabbe				Danish	147411	
107258	sponskrab				Dutch	685	
