name_code	common_name	database_id
fer-4383	Ruddy Ground fern	140
fer-s.4383	Ruddy Ground fern	140
fer-4406	Soft Ground fern	140
fer-4427	Tomato fern	140
fer-4445	Water fern	140
fer-4445	Mata (Maori)	140
fer-4445	Bat's wing fern	140
fer-4445	Oak fern	140
fer-4466	Bamboo fern	140
fer-4486	American rockbrake	140
fer-4490	Cascade rockbrake	140
fer-4491	Krauser Rollfarn	140
fer-4494	Sitka rockbrake	140
fer-4495	Fragile rockbrake	140
fer-4500	Coast Leather Fern	140
fer-4500	Golden leatherfern	140
fer-4501	Inland Leather Fern	140
fer-4502	Piai Lasa (Malay)	140
fer-4502	Mangrove fern	140
fer-4506	Floating antlerfern	140
fer-4507	Triangle waterfern	140
fer-4508	Water Sprite	140
fer-4508	Oriental water fern	140
fer-s.4508	Water Sprite	140
fer-s.4508	Oriental water fern	140
fer-4518	Forest brake	140
fer-4526	Silver brake	140
fer-4526	Striped brake	140
fer-4533	Bahama Ladder Brake	140
fer-4543	Thinleaf brake	140
fer-s.4543	Thinleaf brake	140
fer-4570	Netted brake	140
fer-4578	Cretan Brake (EN); Kretischer Saumfarn (DE); Helecho temblon	140
fer-4578	helecho orlado (ES)	140
fer-s.4578	Cretan Brake (EN); Kretischer Saumfarn (DE); Helecho temblon	140
fer-s.4578	helecho orlado (ES)	140
fer-4596	Toothed brake	140
fer-4614	Sword brake fern	140
fer-4614	Slender brake	140
fer-s.4616	Victorian brake	140
fer-4634	Elephantleaf brake	140
fer-4663	Unvollst&auml;ndiger Saumfarn (DE); Rajuno dentado (ES)	140
fer-4698	Ladder brake	140
fer-4698	Longleaf brake	140
fer-4706	Sweet fern	140
fer-4735	Spider Brake (EN); Vielteiliger Saumfarn (DE); Helecho arana (ES)	140
fer-4751	Oriental brake	140
fer-4760	White-lined Cretan Brake	140
fer-4775	Braid fern	140
fer-4793	Striped brake	140
fer-4843	Tender brake	140
fer-4843	Australian brake fern	140
fer-4843	trembling fern	140
fer-4843	shaking brake (EN); Turawera (Maori); Zitter-Saumfarn (DE)	140
fer-4845	Painted brake	140
fer-4846	Trisect brake	140
fer-4846	Giant brake	140
fer-4849	Jungle brake	140
fer-4861	Chinese Ladder Brake (EN); Geb&auml;nderter Saumfarn (DE); Helecho de abichuela (ES)	140
fer-s.4861	Chinese Ladder Brake (EN); Geb&auml;nderter Saumfarn (DE); Helecho de abichuela (ES)	140
fer-4889	Japanese Claw fern	140
fer-4889	Carrot fern	140
fer-4900	Curly Gold fern	140
fer-4900	Goldback fern	140
fer-4908	D&uuml;nnbl&auml;ttriger Nacktfarn (DE); Annual fern	140
fer-4908	Jersey fern (EN); Helecho de tiempo (ES)	140
fer-5009	Dixie silverback fern	140
fer-5013	Island goldback fern	140
fer-5030	Mountain silverback fern	140
fer-5034	Goldenrod Fern	140
fer-5034	Threeleaf goldback fern	140
fer-5096	Copper Fern	140
fer-5108	Rival lipfern	140
fer-5108	Texas lipfern	140
fer-5109	Alabama Lipfern	140
fer-5111	Golden Lipfern	140
fer-5114	Cleveland's Lipfern	140
fer-5115	Mrs. Cooper's Lipfern	140
fer-5116	Coville's Lipfern	140
fer-5116	Bead fern	140
fer-5118	Fendler's Lipfern	140
fer-5120	Slender Lipfern	140
fer-5121	Lace lipfern	140
fer-5122	Coastal Lipfern	140
fer-5124	Hairy Lipfern	140
fer-5125	Beaded Lipfern	140
fer-5126	Fairy Swords	140
fer-5134	Southern Lipfern	140
fer-5137	Cotton Fern	140
fer-5138	Royal lipfern	140
fer-5139	Parry's Cloak Fern	140
fer-5142	Pringle's Lipfern	140
fer-s.5142	Pringle's Lipfern	140
fer-5146	Eaton's Lipfern	140
fer-5147	Rough lipfern	140
fer-5149	Woolly Lipfern	140
fer-5150	Viscid Lipfern	140
fer-5151	Villous Lipfern	140
fer-5152	Wooton's Lipfern	140
fer-5153	Wright's Lipfern	140
fer-5157	Graceful lipfern	140
fer-5163	Powdery Cloak Fern	140
fer-5165	Fendler's Cloak Fern	140
fer-5167	Hairy false cloak fern	140
fer-5168	Jones' Cloak Fern	140
fer-5169	Border Cloak Fern	140
fer-s.5169	Border Cloak Fern	140
fer-5172	Small-leaved Cloak Fern	140
fer-5185	Schuppenfarn	140
fer-s.5185	Schuppenfarn	140
fer-s.5186	Kurzstieliger Pelzfarn (DE); Doradilla canela (ES)	140
fer-5188	Mouse-ear fern	140
fer-s.5191	Wolliger Pelzfarn (DE); Doradilla velluda	140
fer-s.5191	Helecho lanudo (ES)	140
fer-5194	Coffee cliffbrake	140
fer-5197	Purple cliffbrake	140
fer-5199	Sierra cliffbrake	140
fer-5201	Brewer's cliffbrake	140
fer-5202	Bridges' cliffbrake	140
fer-5206	Heart-leaved cliffbrake	140
fer-5212	Sickle fern	140
fer-5214	Gastony's cliffbrake	140
