ID,ReferenceType,ReferenceID
380819,"Nomenclatural Reference",380819
380820,"Nomenclatural Reference",380820
380821,"Nomenclatural Reference",380821
380823,"Nomenclatural Reference",380823
380824,"Nomenclatural Reference",380824
380825,"Nomenclatural Reference",380825
380826,"Nomenclatural Reference",380826
380827,"Nomenclatural Reference",380827
380828,"Nomenclatural Reference",380828
380829,"Nomenclatural Reference",380829
380830,"Nomenclatural Reference",380830
380831,"Nomenclatural Reference",380831
380832,"Nomenclatural Reference",380832
380833,"Nomenclatural Reference",380833
380834,"Nomenclatural Reference",380834
380835,"Nomenclatural Reference",380835
380836,"Nomenclatural Reference",380836
380837,"Nomenclatural Reference",380837
380838,"Nomenclatural Reference",380838
380839,"Nomenclatural Reference",380839
380840,"Nomenclatural Reference",380840
380842,"Nomenclatural Reference",380842
380843,"Nomenclatural Reference",380843
380844,"Nomenclatural Reference",380844
380845,"Nomenclatural Reference",380845
380846,"Nomenclatural Reference",380846
380847,"Nomenclatural Reference",380847
380848,"Nomenclatural Reference",380848
380849,"Nomenclatural Reference",380849
380850,"Nomenclatural Reference",380850
380851,"Nomenclatural Reference",380851
380852,"Nomenclatural Reference",380852
380853,"Nomenclatural Reference",380853
380854,"Nomenclatural Reference",380854
380855,"Nomenclatural Reference",380855
380856,"Nomenclatural Reference",380856
380857,"Nomenclatural Reference",380857
380858,"Nomenclatural Reference",380858
380859,"Nomenclatural Reference",380859
380860,"Nomenclatural Reference",380860
380861,"Nomenclatural Reference",380861
380862,"Nomenclatural Reference",380862
380864,"Nomenclatural Reference",380864
380866,"Nomenclatural Reference",380866
380867,"Nomenclatural Reference",380867
380868,"Nomenclatural Reference",380868
380869,"Nomenclatural Reference",380869
380870,"Nomenclatural Reference",380870
380871,"Nomenclatural Reference",380871
380872,"Nomenclatural Reference",380872
380873,"Nomenclatural Reference",380873
380874,"Nomenclatural Reference",380874
380875,"Nomenclatural Reference",380875
380877,"Nomenclatural Reference",380877
380881,"Nomenclatural Reference",380881
380882,"Nomenclatural Reference",380882
380883,"Nomenclatural Reference",380883
380884,"Nomenclatural Reference",380884
380885,"Nomenclatural Reference",380885
380886,"Nomenclatural Reference",380886
380887,"Nomenclatural Reference",380887
380888,"Nomenclatural Reference",380888
380889,"Nomenclatural Reference",380889
380890,"Nomenclatural Reference",380890
380891,"Nomenclatural Reference",380891
380892,"Nomenclatural Reference",380892
380893,"Nomenclatural Reference",380893
380894,"Nomenclatural Reference",380894
380896,"Nomenclatural Reference",380896
380897,"Nomenclatural Reference",380897
380898,"Nomenclatural Reference",380898
380899,"Nomenclatural Reference",380899
380900,"Nomenclatural Reference",380900
380901,"Nomenclatural Reference",380901
380902,"Nomenclatural Reference",380902
380903,"Nomenclatural Reference",380903
380904,"Nomenclatural Reference",380904
380905,"Nomenclatural Reference",380905
380906,"Nomenclatural Reference",380906
380907,"Nomenclatural Reference",380907
380908,"Nomenclatural Reference",380908
380909,"Nomenclatural Reference",380909
380910,"Nomenclatural Reference",380910
380911,"Nomenclatural Reference",380911
380912,"Nomenclatural Reference",380912
380913,"Nomenclatural Reference",380913
380914,"Nomenclatural Reference",380914
380915,"Nomenclatural Reference",380915
380916,"Nomenclatural Reference",380916
380917,"Nomenclatural Reference",380917
380919,"Nomenclatural Reference",380919
380920,"Nomenclatural Reference",380920
380921,"Nomenclatural Reference",380921
380922,"Nomenclatural Reference",380922
380923,"Nomenclatural Reference",380923
380924,"Nomenclatural Reference",380924
380926,"Nomenclatural Reference",380926
380927,"Nomenclatural Reference",380927
380928,"Nomenclatural Reference",380928
380929,"Nomenclatural Reference",380929
380930,"Nomenclatural Reference",380930
380931,"Nomenclatural Reference",380931
380932,"Nomenclatural Reference",380932
380933,"Nomenclatural Reference",380933
380934,"Nomenclatural Reference",380934
380938,"Nomenclatural Reference",380938
380941,"Nomenclatural Reference",380941
