ReferenceID,Year,Title,Details,Authors
329870,1913,"Bot. Jahrb. Syst. ","Vol.: 40 p. 481","Buscal. & Muschl."
329875,1938,"Bull. Mus. Natl. Hist. Nat., ser. 2, ","Vol.: 10 p. 632",Jacq.-Fél.
329878,1938,"Bull. Mus. Natl. Hist. Nat., ser. 2, ","Vol.: 10 p. 633",Jacq.-Fél.
329879,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 19","Gilg in Engler"
329882,1974,"Bull. Jard. Bot. Natl. Belg.","Vol.: 44 p. 164",Jacq.-Fél.
334855,1962,"Kew Bull.","Vol.: 15 p. 393",Bullock
337428,1974,"Adansonia, ser. 2,","Vol.: 13 Issue: 4 p. 425",Jacq.-Fél.
337430,1974,"Bull. Jard. Bot. Natl. Belg.","Vol.: 44 p. 171",Jacq.-Fél.
339988,1850,"Ann. Sci. Nat., Bot., ser. 3, ","Vol.: 14 Issue: 2 p. 155",Naudin
340031,1988,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","Vol.: 9 p. 459","Aké Assi"
340032,1981,"Adansonia, n.s. ","Vol.: 20 p. 420",Jacq.-Fél.
340034,1988,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","Vol.: 9 p. 255",Jacq.-Fél.
340037,1981,"Adansonia, n.s. ","Vol.: 20 p. 419",Jacq.-Fél.
340041,1981,Adansonia,,Jacq.-Fél.
340043,1981,"Adansonia, n.s. ","Vol.: 20 p. 419",Jacq.-Fél.
340045,1981,"Adansonia, n.s. ","Vol.: 20 p. 419",Jacq.-Fél.
340046,1981,Adansonia,,Jacq.-Fél.
347022,1906,"Philipp. J. Sci. ","Vol.: 1 Issue: Suppl. p. 215",Merr.
347262,1979,"Adansonia, sér. 2,","Vol.: 18 p. 430",Jacq.-Fél.
347263,1832,"Gen. Hist.","Vol.: 2 p. 655","G. Don"
347268,1921,"Pflanzenw. Afrikas","Vol.: 3 Issue: 2 p. 768",Engl.
347270,1979,"Adansonia, sér. 2,","Vol.: 18 p. 420",Jacq.-Fél.
347271,1974,"Kew Bull. ","Vol.: 29 p. 151",Wickens
347272,1898,"Monogr. Afrik. Pflanzen-Fam. ","Vol.: 2 p. 42",Gilg
347273,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 43",Gilg
347274,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 44",Gilg
347275,1979,"Adansonia, sér. 2,","Vol.: 18 p. 420",Jacq.-Fél.
347277,1947,"Kew Bull. ","Vol.: 1 p. 91",Brenan
347278,1929,"J. Bot.","Vol.: 67, Suppl. p. 186",Exell
347279,1851,"Mus. Bot.","Vol.: 1 p. 356",Blume
347281,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 45",Gilg
