AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1141576	1141574	multispina	Kaltenbach, 1971	Subspecies		Accepted name	False	False	True	terrestrial		Piotr Naskrecki	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4149	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4149
1141597	1141596	ephippigera	Fischer von Waldheim, 1846	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4113	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4113
1141600	1141596	syriaca	Lucas, P.H., 1864	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4110	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4110
1141677	1141676	constrictans	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3989	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3989
1141678	1141676	dactyla	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3987	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3987
1141679	1141676	diminutiva	(Rentz, D.C.F. & Birchim, 1968)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3985	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3985
1141680	1141676	malibu	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3983	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3983
1141685	1141684	costalis	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3975	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3975
1141686	1141684	curtatus	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3973	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3973
1141687	1141684	islandica	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3971	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3971
1141688	1141684	morsei	(Caudell, 1907)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3969	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3969
1141689	1141684	santacruzae	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3967	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3967
1141690	1141684	tectinota	(Rentz, D.C.F. & Weissman, 1981)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3965	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3965
1141692	1141691	armiger	Rehn, J.A.G. & Hebard, 1920	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:76339	urn:lsid:Orthoptera.speciesfile.org:TaxonName:76339
1141693	1141691	gigantea	(Rentz, D.C.F. & Birchim, 1968)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:76338	urn:lsid:Orthoptera.speciesfile.org:TaxonName:76338
1141694	1141691	longicaudus	Rentz, D.C.F. & Birchim, 1968	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:76340	urn:lsid:Orthoptera.speciesfile.org:TaxonName:76340
1141695	1141691	ovata	(Scudder, S.H., 1899)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3954	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3954
1141696	1141691	tinkhamorum	Rentz, D.C.F. & Birchim, 1968	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:76342	urn:lsid:Orthoptera.speciesfile.org:TaxonName:76342
1141697	1141691	segnis	Rehn, J.A.G. & Hebard, 1920	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:76341	urn:lsid:Orthoptera.speciesfile.org:TaxonName:76341
1141805	1141804	ornata	Mishchenko, 1954	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3807	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3807
1141806	1141804	pavlovskii	Mishchenko, 1954	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3806	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3806
1141829	1141828	americanus	(Saussure, 1859)	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:472402	urn:lsid:Orthoptera.speciesfile.org:TaxonName:472402
1141831	1141828	hesperus	Hebard, 1934	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3750	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3750
1141917	1141916	immatura	Sergeev & Pokivajlov, 1992	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3579	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3579
1141918	1141916	pamirica	Stolyarov, 1969	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3577	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3577
1141924	1141923	fuscipennis	Uvarov, 1910	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3568	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3568
1141925	1141923	hindukushanus	Ramme, 1939	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3567	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3567
1141931	1141929	limbata	Brunner von Wattenwyl, 1882	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:469896	urn:lsid:Orthoptera.speciesfile.org:TaxonName:469896
1141932	1141929	grandis	Karabag, 1961	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:469895	urn:lsid:Orthoptera.speciesfile.org:TaxonName:469895
1141990	1141989	striolata	(Ramme, 1951)	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3463	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3463
1141991	1141989	ziyaretensis	Koçak & Kemal, 2010	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3462	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3462
1142031	1142030	gillettei	Caudell, 1907	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3388	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3388
1142032	1142030	utahensis	Tinkham, 1962	Subspecies		Accepted name	False	False	True	terrestrial		Thomas Walker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3387	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3387
1142065	1142064	semenovi	Miram, 1935	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3345	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3345
1142066	1142064	thoracicus	(Fischer von Waldheim, 1846)	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3342	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3342
1142135	1142134	apuanus	Nadig, 1959	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:472245	urn:lsid:Orthoptera.speciesfile.org:TaxonName:472245
1142136	1142134	pedestris	(Fabricius, 1787)	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3221	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3221
1142190	1142189	nagashimai	Wada & H. Ishikawa, 2001	Subspecies		Accepted name	False	False	True	terrestrial		David Eades	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3151	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3151
1142191	1142189	tanigawaensis	Kusakari, 2006	Subspecies		Accepted name	False	False	True	terrestrial				http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3150	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3150
1142192	1142189	iidensis	Kusakari, 2006	Subspecies		Accepted name	False	False	True	terrestrial				http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:3149	urn:lsid:Orthoptera.speciesfile.org:TaxonName:3149
