AcceptedTaxonID	DistributionElement	StandardInUse
1193257	Germany; Czechoslovakia; Finland; France; Luxembourg; Netherlands; Norway; Poland; Romania; Spain; Switzerland; USSR; Mongolia; :	text
1193258	China	text
1193259	Madagascar	text
1193260	China	text
1193261	India; Nepal; Bhutan	text
1193262	Indonesia	text
1193263	China	text
1193264	China	text
1193265	USA	text
1193266	Nepal	text
1193267	Mauritius; Seychelles	text
1193268	Angola	text
1193269	Jamaica	text
1193270	China	text
1193271	Cuba	text
1193272	India	text
1193273	Venezuela	text
1193274	Tanzania; Madagascar	text
1193275	Madagascar	text
1193276	China	text
1193277	Madagascar	text
1193279	Jamaica	text
1193280	Indonesia	text
1193282	Japan	text
1193283	Congo; Nigeria	text
1193284	China	text
1193287	India	text
1193288	Indonesia	text
1193290	USA	text
1193291	Madagascar	text
1193292	Argentina	text
1193293	Angola; Nigeria	text
1193294	New Guinea	text
1193295	Japan	text
1193296	Angola	text
1193297	China	text
1193298	Sri Lanka; Indonesia	text
1193299	China	text
1193300	USA	text
1193301	Angola	text
1193303	China	text
1193304	USA	text
1193305	Indonesia	text
1193306	Indonesia	text
1193308	China	text
1193309	China	text
1193310	China	text
1193311	Indonesia	text
1193312	China	text
1193314	Mexico	text
