ReferenceID	Authors	Year	Title	Source
32152	New	1972	Some Thyrsophoridae from Central Brazil (Psocoptera).	Zoologischer Anzeiger 189((3/4))
32154	New	1973	A collection of Psocoptera from Nigeria.	Occasional Publications of the Entomological Society of Nigeria 10
32156	New	1973	The Archipsocidae of South America (Psocoptera).	Transactions of the Royal Entomological Society of London 125(1)
32157	New	1973	South American species of Nepiomorpha Pearman and Notiopsocus Banks (Psocoptera).	The Entomologist 106
32158	New	1973	Some Psocoptera from Nepal.	Oriental Insects 7(1)
32159	New	1973	Some Psocoptera from Thailand.	Oriental Insects 7(2)
32160	New	1973	"New species and records of Peripsocus Hagen (Psocoptera, Peripsocidae) from south east Australia."	Journal of the Australian Entomological Society 12
32161	New	1973	"Two new Victorian species of Ectopsocus McLachlan (Psocoptera, Ectopsocidae)."	Journal of the Australian Entomological Society 12
32164	New	1973	"A new species of Troctopsoculus Mockford (Psocoptera, Troctopsocidae) from Brazil."	The Entomologist 106
32165	New	1974	New species and records of Pseudocaeciliidae (Psocoptera) from south-east Australia.	Journal of the Australian Entomological Society 13
32168	New	1974	Psocoptera from nests of the colonial spider Ixeuticus candidus (Koch) (Dictynidae) in Western Victoria.	Australian Entomological Magazine 2(1)
32170	New	1974	Two species of Epipsocetae (Psocoptera) from Cacao litter in Brazil.	Revista Brasileira de Entomologia 18(3)
32171	New	1974	Psocidae (Psocoptera) from southern Australia.	Journal of the Australian Entomological Society 13
32173	New	1975	New species and records of Psocidae (Psocoptera) from Kenya.	Journal of Natural History 9
32174	New	1975	Psocoptera from Nigeria.	Bulletin of the Entomological Society of Nigeria 3
32175	New	1975	Lepidopsocidae and Amphientomidae (Psocoptera) from Malaysia and Singapore.	Oriental Insects 9(2)
32176	New	1975	Psocidae (Psocoptera) from Malaysia and Singapore.	Oriental Insects 9(3):243-259
32177	New	1975	Some Lepidopsocidae (Psocoptera) from Central Brazil.	Revista Brasileira de Entomologia 19(2)
32181	New	1977	Psocoptera from Aldabra and the Chagos Archipelago.	Oriental Insects 11(1)
32183	New	1977	"A new species of Blaste (Psocoptera, Psocidae) from St. Helena."	Nouvelle Revue d'Entomologie 7(3)
32187	New	1977	Epipsocidae and Pseudocaeciliidae (Psocoptera) from Sri Lanka.	Oriental Insects 11(3)
32188	New	1978	An appraisal of the Thyrsophorinae stat. nov. (Psocoptera, Psocidae) and of the constituent genera from the Neotropics.	Systematic Entomology 3:35-49
32189	New	1978	"The genus Neurosema (Psocoptera, Calopsocidae) from New Guinea."	Systematic Entomology 3
32191	New	1978	"Notes on some Oriental genera of Cerastipsocinae (Psocoptera, Psocidae)."	Oriental Insects 12(1)
32192	New	1978	Notes on Calopsocidae (Psocoptera).	Oriental Insects 12(3)
32193	New	1978	Ergebnisse der Bhutan-Expedition 1972 des Naturhistorischen Museums in Basel. Psocoptera.	Entomologica Basiliensia 3
32194	New	1978	Notes on some unusual Psocidae (Psocoptera) from Brazil.	Revista Brasileira de Entomologia 22(1)
32195	New	1978	Notes on the complex of species allied to Psococerastis taprobanes (Hagen) (Psocoptera, Psocidae).	Entomologica Basiliensia 3
32197	New	1979	Insects of Saudi Arabia. Psocoptera.	Fauna of Saudi Arabia 1
32198	New	1980	"New and little known Psocoptera from the Reserva Ducke, Amazonas."	Acta Amazonica 9(4)
32199	New	1980	Epipsocetae (Psocoptera) from the Reserva Ducke, Amazonas.	Acta Amazonica 10(1):179-206
32202	New	1983	Psocoptera from the Nepal Himalayas (Insecta).	Senckenbergiana biologica 63((1/2))
32205	New	1985	A small collection of Psocoptera from Nepal.	Oriental Insects 19
32207	New	1987	Further Psocoptera from the Nepal Himalayas, collected by the Martens' expeditions (Insecta).	Courier des Forschungs-Institutes Senckenberg 93
32209	New	1991	Psocoptera from southern China.	Oriental Insects 25
32211	New	1993	Pseudocaeciliidae (Insecta: Psocoptera) from East Malaysia.	Oriental Insects 27
32212	New	1994	A second species of Amphientomidae (Insecta: Psocoptera) from Western Australia.	Proceedings of the Linnean Society of New South Wales 114(4)
32214	New & S. S. Lee	1991	A new species of Psilopsocus Enderlein (Psocoptera: Psilopsocidae) from Malaysia.	Journal of the Australian Entomological Society 30(1)
32215	New & S. S. Lee	1991	An unusual new species of Psyllipsocidae (Psocoptera) from Malaysia.	Oriental Insects 25
32216	New & S. S. Lee	1991	Epipsocidae (Psocoptera) from West Malaysia.	Oriental Insects 25
32217	New & S. S. Lee	1991	Lachesilla Westwood (Psocoptera: Lachesillidae) in Malaysia.	Oriental Insects 25
32218	New & S. S. Lee	1991	Peripsocidae (Psocoptera) from West Malaysia.	Oriental Insects 25
32219	New & S. S. Lee	1992	Trichadenotecnum Enderlein (Psocoptera: Psocidae) from West Malaysia.	Oriental Insects 26
32220	New & S. S. Lee	1992	Philotarsidae (Psocoptera) from West Malaysia.	Oriental Insects 26
32221	New & S. S. Lee	1992	Ectopsocidae (Psocoptera) from West Malaysia.	Oriental Insects 26
32222	New & S. S. Lee	1992	Replacement name for Psyllipsocus ornatus New & Lee (Psocoptera: Psyllipsocidae).	Oriental Insects 26
32225	New & Thornton	1975	Psocomorpha (Psocoptera) collected on recent expeditions to South America.	Journal of Entomology (B) 44(1)
32226	New & Thornton	1976	Psocomorpha (Psocoptera) from the Malayan Peninsula, including collections from the forest canopy.	Oriental Insects 9(4)
32227	New & Thornton	1981	Psocoptera from central and southern Chile.	Pacific Insects Monographs 37
32228	New & Thornton	1988	Epipsocetae (Psocoptera) from Peru.	Studies on Neotropical Fauna and Environment 23(4)
32229	New, J. U. Adis, J. W. de Morais & Gomes Rodrigues	1991	Notes on phenology and abundance of Psocoptera from primary and secondary dryland forest in central Amazonia, Brazil.	Studies on Neotropical Fauna and Environment 26(4):243-247
32233	Newstead	1921	Corrodentia: Psocidae. On a new Southern Nigerian psocid.	Transactions of the Entomological Society of London 1921((3/4))
32249	Nitzsch	1821	Ueber die Eingeweide der Bücherlaus (Psocus pulsatorius) und über das Verfahren bei der Zergliederung sehr kleiner Insekten.	Magazin der Entomologie (Germar) 4
32265	Obr	1948	A la connaissance des Psocoptères de Moravie (Tchècoslovaquie).	A la connaissance des Psocoptères de Moravie (Tchècoslovaquie)., Spisy vydavane Prirodovedeckou Fakultou Masarykovy University M2 306:"108 pp., 196 figs."
32266	Obr	1948	Contribution à la connaissance d'espèce de Peripsocus didymus Roes. (Psocoptères).	Contribution à la connaissance d'espèce de Peripsocus didymus Roes. (Psocoptères)., Sbornik Klubu prirodovedeckeho v Brne 28:4 pp., 2 figs.
32293	Okamoto	1907	Die Psociden Japans.	Transactions of the Sapporo Natural History Society 2:113-147
32294	Okamoto	1910	Die Caeciliiden Japans.	Annales historico-naturales Musei nationalis Hungarici 8
32295	Okamoto	1932		Iconographia Insectorum Japonicorum, Hokuryukan, Ltd., Tokyo
32296	Okamoto & Kuwayama	1924	A contribution to our knowledge of the Corrodentia-fauna of South Saghalien.	Annals and Magazine of Natural History (9)14
32306	Packard Jr.	1870	New or rare American Neuroptera, Thysanura and Myriapoda.	Proceedings of the Boston Society for Natural History 13
32324	Pearman, J. V.	1924	A new species of Caecilius (Psocoptera).	Entomologist's Monthly Magazine 60
32327	Pearman, J. V.	1925	Additions to the British psocid fauna.	Entomologist's Monthly Magazine 61
32331	Pearman, J. V.	1928	Some Psocoptera from the New Hebrides.	Entomologist's Monthly Magazine 64
32340	Pearman, J. V.	1929	New species of Psocoptera from warehouses.	Entomologist's Monthly Magazine 65
32341	Pearman, J. V.	1931	A new species of Lepinotus (Psocoptera).	Entomologist's Monthly Magazine 67
32343	Pearman, J. V.	1931	More Psocoptera from warehouses.	Entomologist's Monthly Magazine 67
32344	Pearman, J. V.	1932	"Notes on the genus Psocus, with special reference to the British species."	Entomologist's Monthly Magazine 68
32345	Pearman, J. V.	1932	Some coccophagous psocids (Psocoptera) from East Africa.	Stylops 1(4):90-96
32346	Pearman, J. V.	1932	A new species of Tapinella (Psocoptera).	Stylops 1(11)
32347	Pearman, J. V.	1933	A psocid allied to Eremopsocus infumatus McLachlan (Psocoptera).	Stylops 2(7)
32349	Pearman, J. V.	1933	A new species of Terracaecilius (Psocoptera).	Entomologist's Monthly Magazine 69
32350	Pearman, J. V.	1934	A new species of Archipsocus (Psocoptera).	Stylops 3(5)
32351	Pearman, J. V.	1934	New and little known African Psocoptera.	Stylops 3(6)
32352	Pearman, J. V.	1935	Two remarkable Amphientomids (Psocoptera).	Stylops 4(6)
32353	Pearman, J. V.	1935	Notes on some dimorphic psocids.	Entomologist's Monthly Magazine 71
32354	Pearman, J. V.	1936	The taxonomy of the Psocoptera: preliminary sketch.	Proceedings Royal Entomological Society of London (B) 5:58-62
