AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1155045	1155044	cyrnea	Consiglio & Giudicelli, 1965	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462416	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462416
1155046	1155044	incudensis	Vinçon & C. Ravizza, 2000	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462415	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462415
1155048	1155047	signifera	Kempny, 1899	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:460961	urn:lsid:Plecoptera.speciesfile.org:TaxonName:460961
1155049	1155047	jahorinensis	Kaćanski, D., 1972	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462413	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462413
1155051	1155050	queyrassiana	Ravizza, C. & Vinçon, 1991	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462412	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462412
1155052	1155050	orsiera	Ravizza, C. & Vinçon, 2003	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462411	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462411
1155083	1155082	mortoni	Kempny, 1899	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462396	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462396
1155084	1155082	feheri	Murányi, 2007	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462395	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462395
1155086	1155085	fusca	(Linnaeus, 1758)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462393	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462393
1155092	1155085	latior	Berthélemy & Dia, 1982	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462392	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462392
1155371	1155370	beali	(Navás, 1923)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3999	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3999
1155372	1155370	cretica	Zwick, P., 1978	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3998	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3998
1155374	1155373	transcaucasica	Zhiltzova, 1956	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3995	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3995
1155375	1155373	kykladica	Zwick, P., 1978	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3994	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3994
1155376	1155373	turcica	Zwick, P., 1975	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3993	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3993
1155378	1155377	vera	Berthélemy & Gonzalez del Tanago, 1983	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3990	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3990
1155379	1155377	cordubensis	Berthélemy & Baena-Ruiz, 1984	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:3989	urn:lsid:Plecoptera.speciesfile.org:TaxonName:3989
1155808	1155807	manevali	(Kimmins, 1935)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:7396	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7396
1155809	1155807	torrentium	(Pictet, F.J., 1841)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:7397	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7397
1156079	1156078	primitiva	Geijskes, 1952	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:460567	urn:lsid:Plecoptera.speciesfile.org:TaxonName:460567
1156080	1156078	inutilis	Zwick, P., 1973	Subspecies	 Nomen novum (Junior homonym is <i>sumatrana</i>)	Accepted name	False	False	True	freshwater, terrestrial	 Nomen novum (Junior homonym is <i>sumatrana</i>). Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:460637	urn:lsid:Plecoptera.speciesfile.org:TaxonName:460637
1156139	1156138	naviculata	Klapálek, 1909	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462314	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462314
1156140	1156138	crux	Zwick, P., 1986	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462313	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462313
1157561	1157560	floridus	Kovács, Tibor & Vinçon, 2012	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:7663	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7663
1157562	1157560	peloponnesiacus	Kovács, Tibor & Vinçon, 2012	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:7662	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7662
1157591	1157590	mirabilis	Raušer, 1966	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:697	urn:lsid:Plecoptera.speciesfile.org:TaxonName:697
1157592	1157590	nigrita	Zwick, P., 1978	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:696	urn:lsid:Plecoptera.speciesfile.org:TaxonName:696
1157593	1157590	caucasica	Zhiltzova, 1973	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:695	urn:lsid:Plecoptera.speciesfile.org:TaxonName:695
1157601	1157600	decisus	(Walker, F., 1852)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:673	urn:lsid:Plecoptera.speciesfile.org:TaxonName:673
1157602	1157600	isolatus	(Banks, 1920)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:670	urn:lsid:Plecoptera.speciesfile.org:TaxonName:670
1157795	1157794	balcanica	Raušer, 1962	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462270	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462270
1157796	1157794	oxylepis	(Despax, 1936)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462269	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462269
1157829	1157828	tripartita	Illies, 1954	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462246	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462246
1157830	1157828	recta	Zwick, P., 1978	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462245	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462245
1157843	1157842	acicularis	(Despax, 1936)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462236	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462236
1157844	1157842	guadarramica	Aubert, 1956	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462235	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462235
1157845	1157842	cantabrica	Aubert, 1956	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators, ontogenetic shifts known	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462234	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462234
1222562	1155303	nebulosa	(Linnaeus, 1758)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:470477	urn:lsid:Plecoptera.speciesfile.org:TaxonName:470477
1222563	1155303	britannica	Hynes, 1957	Subspecies		Accepted name	False	False	True	freshwater, terrestrial		R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:470460	urn:lsid:Plecoptera.speciesfile.org:TaxonName:470460
