ReferenceID	Authors	Year	Title	Source
15763	Vinçon & Ravizza	2000	New micropterous micro-endemic Leuctra species and subspecies from the Spanish Cordillera Cantabrica (Plecoptera Leuctridae)	Bollettino della Societa Entomologica Italiana (Boll. Soc. ent. Ital.) 132(3):195-203
15765	Kondratieff & Kirchner	2000	Two new Allocapnia from Eastern North America (Plecoptera: Capniidae)	Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 93(6):1267-1273
15766	Du	2000	Notes on Chinese species of the genus Acroneuria Pictet (Plecoptera: Perlidae: Acroneuriinae)	Entomotaxonomia 22(2):79-84
15767	Stark	2001	Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae)	Scopolia 46:1-42
15768	Stark & Baumann	2001	Sasquaperla hoopa, a new stonefly genus and species from northern California (Plecoptera: Chloroperlidae)	Western North American Naturalist (West.N.Am.Nat.) 61(4):473-479
15769	Fenoglio & Morisi	2002[2001]	Anacroneuria starki, a new species from Nicaragua (Plecoptera: Perlidae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 23:311-314
15770	Vinçon & Sivec	2001	Contribution to the knowledge of Turkish Leuctridae (Plecoptera)	Nouvelle Revue d'Entomologie (Nouv. Rev. Entomol.) 18(3):259-285
15771	Nelson, C.H.	2001	The Yugus bulbosus complex, with a comment on the phylogenetic position of Yugus within the eastern Perlodini (Plecoptera: Perlodidae: Perlodinae)	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 103(3):601-619
15772	Tierno de Figueroa & Fochetti	2001	Isoperla zwicki sp. n. (Plecoptera, Perlodidae), a new Italian stonefly species	Revue Suisse de Zoologie (Rev. Suiss. Zool.) 108(3):483-486
15773	Maruyama	2002	A new species of the genus Cryptoperla (Plecoptera, Peltoperlidae) from Japan	Japanese Journal of Systematic Entomology (Jap.J.Syst.Entomol.) 8(1):1-6
15774	Baumann & Jacobi	2002	Capnia caryi, an interesting new species of winter stonefly from the American Southwest (Plecoptera: Capniidae)	Western North American Naturalist (West.N.Am.Nat.) 62(4):484-486
15775	Sivec & Stark	2002	The species of Perla (Plecoptera: Perlidae): evidence from egg morphology	Scopolia 49:1-33
15776	Sivec & Dia	2002	Isoperla berthelemyi and Protonemura phoenicia spp. n., two new species of stoneflies from Lebanon (Insecta: Plecoptera)	Ephemera 3(1):43-51
15777	Sivec & Graf	2002	Perla carantana - a new species of the genus Perla (Plecoptera: Perlidae) from Austria and Slovenia	Natura Sloveniae 4(2):31-38
15778	Zúñiga & Stark	2002	New species and records of Colombian Anacroneuria (Insecta, Plecoptera, Perlidae)	Spixiana 25(3):209-224
15779	Vinçon & Sánchez-Ortega	2002	The genus Capnioneura in the Iberian Peninsula and the Pyrenees, with the description of C. narcea sp. n. (Plecoptera, Capniidae)	Nouvelle Revue d'Entomologie (Nouv. Rev. Entomol.) 19(1):73-81
15780	Ham & Bae	2002	The stonefly genus Megaleuctra (Plecoptera: Leuctridae) new to East Palearctic region, with description of Megaleuctra saebat new species	Entomological News (Ent. News) 113(5):336-341
15781	Kondratieff & Kirchner	2002	Perlesta etnieri (Plecoptera: Perlidae), a new species of stonefly from Tennessee	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 104(1):51-55
15782	Kondratieff & Baumann	2002	A review of the stoneflies of Colorado with description of a new species of Capnia (Plecoptera: Capniidae)	Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 128(4):385-401
15783	Tierno de Figueroa & Fochetti	2002	Sweltsa yunnan, sp. nov., a new stonefly from China (Plecoptera: Chloroperlidae)	Oriental Insects (Orient. Ins.) 36:93-95
15784	Zhu, F. & D. Yang	2002	Three new species of Amphinemura from China (Plecoptera: Nemouridae)	Acta Zootaxonomica Sinica 27(4):745-749
15785	Zhu, F., D. Yang & C. Yang	2002	A new species of the genus Indonemoura Baumann (Plecoptera: Nemouridae) from Tibet, China	Entomological Science (Entomol. Sci.) 5(3):317-320
15786	DeWalt	2002	Perlesta napacola, a new species in the Perlesta frisoni species group (Plecoptera: Perlidae)	Entomological News (Ent. News) 113(3):173-178
15787	Froehlich	2002	Anacroneuria mainly from southern Brazil and northeastern Argentina (Plecoptera: Perlidae)	Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 115(1):75-107
15788	Ishizuka	2002	A new species of Isoperla (Plecoptera, Perlodidae, Isoperlinae) from Japan	Special Bulletin of the Japanese Society of Coleopterology 5:87-95
15789	Zhu, F., D. Yang & C. Yang	2003	Two New Species of Mesonemoura from Tibet, China (Plecoptera: Nemouridae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 25(1):1-8
15790	Vinçon & Pardo	2003	Two new Nemoura species from the northwestern Iberian Peninsula and the Pyrenees (Plecoptera, Nemouridae)	Nouvelle Revue d'Entomologie (Nouv. Rev. Entomol.) 20(1):29-38
15791	Kondratieff & Kirchner	2003	Two new species of Perlesta Banks (Plecoptera: Perlidae) from eastern North America	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 105(4):933-939
15792	Martins-Neto & Gallego	2003	The Triassic insect fauna from South America (Argentina, Brazil and Chile): a checklist (except Blattoptera and Coleoptera) and descriptions of new taxa	Acta Zoologica Cracoviensia (Acta. Zool. Cracov.) 46(suppl.):229-256
15793	Zhu, F. & D. Yang	2003	Three new species of Amphinemura (Plecoptera: Nemouridae) from Tibet, Chna [China]	Entomologia Sinica (Entomol. Sin.) 10(1):51-56
15794	Zhu, F. & D. Yang	2003	Two new species of Nemoura from China (Plecoptera, Nemouridae)	Acta Zootaxonomica Sinica 28(3):474-477
15795	Devyatkov	2003	Yoraperla altaica, a new species of Peltoperlidae (Plecoptera) from East Kazakhstan (Central Asia)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 25(4):269-276
15796	Froehlich	2003	Stoneflies (Plecoptera:Perlidae) from the Brazilian Amazonia with the description of three new  species and a key to Macrogynoplax	Studies on Neotropical Fauna and Environment (Stud. Neotrop. Fauna) 38(2):129-134
15797	Nelson, C.R.	2004	Systematics of the Capnia californica species group, including a morphological phylogeny, zoogeography, and description of Capnia kersti, new species (Plecoptera: Capniidae)	Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 97(1):97-104
